split,file_name,blood_group,category_name,bbox_area_ratio,r_mean,g_mean,b_mean,r_std,g_std,b_std,gray_mean,gray_std,edge_density
train,A+ (64)_jpg.rf.ZA6drWo0hodhbR2tcAy8.jpg,A+,A,0.2385828024480808,123.54252,148.55527,146.90082,38.29874,26.052977,25.380495,139.66621,26.368624,0.24987867227971966
train,A+ (64)_jpg.rf.ZA6drWo0hodhbR2tcAy8.jpg,A+,D,0.26646839298821295,144.2428,96.72939,98.50517,17.879868,49.82734,50.311504,113.15913,38.06408,0.24883098520426197
train,A+ (115)_jpg.rf.t5ZjzJUWZdugvB7fmADQ.jpg,A+,A,0.18613572121367777,131.6105,118.74754,112.029106,35.755783,53.837166,54.24728,120.79573,46.566708,0.24994867632665727
train,A+ (115)_jpg.rf.t5ZjzJUWZdugvB7fmADQ.jpg,A+,D,0.198715477095747,143.76178,89.631424,80.35204,16.451475,53.15917,53.06788,104.58173,40.122635,0.24907594536750546
train,B- (34)_jpg.rf.zhBikSJtsxBEfd2lXm2i.jpg,B-,B,0.18710852081489654,162.83298,145.46152,120.30018,10.771035,33.32821,59.37228,142.86487,32.98656,0.2412649194883078
train,A- (132)_jpg.rf.ZHf6J25pmB57kvClR6Lf.jpg,A-,A,0.12152931943065966,76.029465,127.91997,132.93263,58.048923,44.198883,43.052067,112.29402,44.600124,0.245691950163803
train,O+ (56)_jpg.rf.t7RHNVBJ2syMHpPEryW6.jpg,O+,D,0.12868174382421582,156.29568,104.89312,107.27231,10.85465,58.977684,58.879303,122.82039,41.728718,0.24915816908911043
train,B- (113)_jpg.rf.G7GWTebfO18cYpnZOpWz.jpg,B-,B,0.20541046202324173,163.15656,121.32226,106.001564,17.780384,57.53692,60.085594,130.16011,43.899246,0.24826222435282838
train,A- (53)_jpg.rf.Gc55L44YCE27lUS0oLiV.jpg,A-,A,0.20346179673321232,113.31517,150.33319,156.64735,31.329376,26.807528,25.418697,140.09857,23.807165,0.2500559409263817
train,A+ (17)_jpg.rf.UAa3D6QpD2D2Oab4c1PC.jpg,A+,D,0.1449022599012184,134.6935,118.898926,121.31806,37.64844,64.58305,63.293983,124.9702,54.704494,0.2499807176876651
train,A+ (17)_jpg.rf.UAa3D6QpD2D2Oab4c1PC.jpg,A+,A,0.11548234845244983,161.50893,133.51424,130.93765,16.463621,45.54329,43.99703,141.98694,34.49093,0.2499924244719857
train,O+ (25)_jpg.rf.tG5zhy89nvnHJvmgnwRb.jpg,O+,D,0.14204670341834927,144.7063,115.832825,116.59705,17.89291,54.246017,60.363968,125.71207,43.81513,0.20722467051926993
train,B- (21)_jpg.rf.ZKSil1cxgTzyFcBuJDx0.jpg,B-,B,0.09954794653524492,151.30347,121.94121,98.87064,20.406065,51.186256,50.25714,124.03843,39.07663,0.2499913559330406
train,B- (87)_jpg.rf.TaTsXps6dSOAdnwV0n8s.jpg,B-,B,0.1955918619484023,168.94751,139.0799,102.996025,14.874346,50.710888,55.711586,137.0078,38.0959,0.24968628640415827
train,B- (121)_jpg.rf.d7kkrgCEF72tn7szdYE9.jpg,B-,B,0.16520520590817142,126.34877,98.00006,75.575066,20.396017,45.242107,48.370644,99.974655,36.207664,0.24931805782869612
train,B+ (35)_jpg.rf.GkqQZOcUVB1o6DorvciF.jpg,B+,B,0.19064293915040187,147.13678,65.76984,67.055984,16.830051,62.909927,57.333775,93.320854,44.626686,0.24992895348483157
train,B+ (35)_jpg.rf.GkqQZOcUVB1o6DorvciF.jpg,B+,D,0.1680858962761948,144.68156,75.5543,81.08334,17.905584,63.314396,58.26942,100.439735,45.84881,0.24980729406350669
train,A+ (126)_jpg.rf.UIxr3gZswpEVwchxeYkM.jpg,A+,A,0.139584678398242,153.49269,137.88365,131.8848,50.300125,75.803246,74.458405,141.08704,64.50337,0.2499876095010346
train,A+ (126)_jpg.rf.UIxr3gZswpEVwchxeYkM.jpg,A+,D,0.13644286800680017,185.67006,125.93486,116.947876,16.680092,68.68102,69.73001,142.85094,51.049995,0.24980410444801868
train,O+ (40)_jpg.rf.t9tUBMvHBKcKwMfbx56j.jpg,O+,D,0.1319339429035863,143.38617,129.38962,120.751686,22.918236,44.09976,51.476665,131.17581,39.118267,0.18154153777493864
train,A- (42)_jpg.rf.t8WVs1VNNrmAgBYgoJ0O.jpg,A-,A,0.26428132992327363,137.09946,153.11134,154.9553,32.101555,39.337776,37.679817,148.3887,34.390213,0.25
train,A+ (185)_jpg.rf.ZjoKPUb4odl2CXA0Exne.jpg,A+,A,0.12600853450699276,151.70271,119.51898,144.98177,26.213781,24.885202,24.256132,138.7345,24.335197,0.24961117819218978
train,A+ (185)_jpg.rf.ZjoKPUb4odl2CXA0Exne.jpg,A+,D,0.14134690220174093,180.86766,99.76993,101.23816,10.702963,24.32448,29.639738,127.29189,21.032484,0.24886118649094927
train,B+ (84)_jpg.rf.HdHqNUeZn4pfsuum0ttD.jpg,B+,D,0.14963826738891509,125.16934,75.05895,77.25645,22.109396,49.74078,46.93531,92.49492,38.50135,0.24999523661329556
train,B+ (84)_jpg.rf.HdHqNUeZn4pfsuum0ttD.jpg,B+,B,0.17732102462659352,127.83746,103.70949,75.1991,28.32412,60.21886,52.934498,102.24869,44.782055,0.24983564854513235
train,AB- (23)_jpg.rf.GrLMrfr10CSchgBmcazu.jpg,AB-,A,0.18315136986884084,131.63637,154.5705,157.55391,30.13399,39.77762,37.693424,147.92026,33.66961,0.24996899801587302
train,AB- (23)_jpg.rf.GrLMrfr10CSchgBmcazu.jpg,AB-,A,0.23276535980148882,149.56157,80.27994,77.66694,19.02116,59.56821,55.29133,102.50282,43.693844,0.24985347985347986
train,B- (118)_jpg.rf.daLUPoh0QCdZbVSBuDGb.jpg,B-,B,0.17331478334749362,165.12944,150.5318,106.258316,12.24663,33.543495,50.984203,140.63983,29.696215,0.24372732800738084
train,B+ (98)_jpg.rf.dCJrGx1UPgwtaLEcswnn.jpg,B+,B,0.24523556844855482,178.37169,159.44867,135.95177,11.491298,27.407305,40.353577,157.92404,24.987415,0.2453700383955985
train,B+ (98)_jpg.rf.dCJrGx1UPgwtaLEcswnn.jpg,B+,D,0.21370397630971338,159.20618,121.32134,111.633194,10.275179,35.379807,40.777973,130.72025,27.816278,0.24994392229873713
train,AB- (85)_jpg.rf.dEVuyNWpBW1wXtW8CtCF.jpg,AB-,A,0.2613896092239713,117.47414,142.55504,148.34634,34.89507,33.31859,32.62094,136.12518,30.720306,0.24996410624551327
train,AB- (85)_jpg.rf.dEVuyNWpBW1wXtW8CtCF.jpg,AB-,B,0.31338314001657,159.32855,113.6558,90.67681,17.37209,52.31668,49.522274,121.220375,38.084877,0.25
train,B- (141)_jpg.rf.wl3GIJ7tuOkt3Pq7VnxB.jpg,B-,B,0.21230677947222829,145.60017,109.40039,81.25627,27.65614,54.12353,58.502365,112.08561,44.615284,0.24951582981672885
train,O+ (182)_jpg.rf.G4mo79Q10bfXsUdtuncl.jpg,O+,D,0.09313878300062081,175.99574,133.98343,120.59898,22.51229,59.09446,65.45031,143.52603,48.559547,0.2479895658079553
train,A- (135)_jpg.rf.eXTlFV0HU5Cpu60Zl1FH.jpg,A-,A,0.14833807988285128,118.342766,133.02898,132.59042,36.573498,42.192005,42.85061,127.98737,38.75138,0.24999176331049025
train,A+ (167)_jpg.rf.MCPJsgr54JAiTWifQfWJ.jpg,A+,A,0.16905157229468817,149.64543,141.5687,139.15123,24.416958,47.269917,46.54806,143.45512,38.445435,0.2463455927645872
train,A+ (167)_jpg.rf.MCPJsgr54JAiTWifQfWJ.jpg,A+,D,0.16374539068455735,152.28586,121.43313,114.28789,14.246205,40.02443,41.25789,129.33563,30.982056,0.2499343449913792
train,O+ (180)_jpg.rf.IgEjukIm1daa6a2wDoee.jpg,O+,D,0.1596977490888558,149.44492,115.005775,110.72346,30.736301,67.10134,68.22688,125.058044,54.32045,0.2353030608694635
train,A+ (4)_jpg.rf.eOeeLGsvE9QZhcayYlNN.jpg,A+,A,0.1856583482507951,128.6762,100.70339,101.58712,31.778475,57.19639,55.798187,110.322266,47.663185,0.2499992361864316
train,A+ (4)_jpg.rf.eOeeLGsvE9QZhcayYlNN.jpg,A+,D,0.18826324977283054,157.35333,92.79717,82.56333,10.638909,36.306,37.701702,110.9046,27.191118,0.24908144703713966
train,B- (34)_jpg.rf.ZYssLXCCV4RnQXvGnkOi.jpg,B-,B,0.26740900954945734,157.47519,144.18619,128.34352,12.29022,30.607521,34.80663,143.33496,24.613186,0.25
train,B- (97)_jpg.rf.H1HIhHIEfwhSvJk35EKx.jpg,B-,B,0.16617044026082986,140.63197,96.37291,80.639175,21.575548,54.61177,53.350273,105.88135,41.375767,0.2497853378338367
train,AB- (28)_jpg.rf.ecjFS71y6FZBXDr2VSbW.jpg,AB-,B,0.2573397304729637,149.8415,113.482124,80.44497,13.120163,48.60378,51.130093,114.58952,35.34376,0.2500058969218068
train,AB- (28)_jpg.rf.ecjFS71y6FZBXDr2VSbW.jpg,AB-,A,0.30092678405931417,129.40999,143.06528,145.74884,33.202435,36.300602,35.6298,139.40804,33.770218,0.2499873896595208
train,A+ (90)_jpg.rf.MXUQiGndwZvdsXNfF6ak.jpg,A+,D,0.1891935097547745,154.76538,112.17676,112.54192,17.896273,55.7101,55.874794,126.4947,42.108624,0.2499543718002258
train,A+ (90)_jpg.rf.MXUQiGndwZvdsXNfF6ak.jpg,A+,A,0.17791904057396982,152.80792,95.504814,94.45749,17.431377,68.12642,67.61994,114.256744,49.955826,0.24163489976996386
train,AB- (86)_jpg.rf.dilF52UbeWE9NWRjjMgx.jpg,AB-,B,0.15701011577040094,158.42575,123.98671,106.18333,17.524271,53.75428,52.62213,129.53194,40.627644,0.24831204017956865
train,AB- (86)_jpg.rf.dilF52UbeWE9NWRjjMgx.jpg,AB-,A,0.12888893424625059,105.256454,96.897064,94.94625,44.61862,66.9471,67.91847,99.03324,58.90471,0.24992542682177887
train,O+ (168)_jpg.rf.0JLpzTEL903s5Y15hgY2.jpg,O+,D,0.2054408424561765,174.67215,117.90637,105.19041,12.239609,46.893105,52.782745,132.58963,35.42853,0.2499795300090068
train,B- (34)_jpeg.rf.xZxD1Ssx843ec1F5otu4.jpeg,B-,B,0.141967881320627,118.191696,91.1582,65.46468,26.53645,55.368645,47.81891,91.604866,40.83933,0.24959640572646968
train,B- (17)_jpg.rf.HxoLnaLEML5S0JQ58eBR.jpg,B-,B,0.22346788101604276,165.99037,112.36415,85.24192,15.828547,49.28129,52.7733,121.19884,37.79026,0.2497025776602776
train,O+ (65)_jpg.rf.eag0hQ2Lgx5EifnTwG54.jpg,O+,D,0.12347489581658774,109.77013,72.176315,72.57903,9.69129,38.391018,39.35517,84.841835,28.095459,0.2458142311963992
train,O+ (35)_jpg.rf.JW9LW9J8zWKZ3p4BBTtI.jpg,O+,D,0.17126822996416882,116.95908,60.3039,59.86924,11.889782,39.68932,39.087494,79.04408,28.618265,0.24366668486990647
train,AB+ (150)_jpg.rf.x83fM9Rd8xcKStsHhIqF.jpg,AB+,A,0.21348110613207547,153.80127,139.69456,135.0484,22.953306,42.169823,42.700672,142.84807,35.21752,0.24990688796294142
train,AB+ (150)_jpg.rf.x83fM9Rd8xcKStsHhIqF.jpg,AB+,B,0.22283802730883817,169.31903,141.72719,108.5933,14.379689,49.07844,56.02617,139.87985,37.476997,0.2499888720733553
train,AB+ (150)_jpg.rf.x83fM9Rd8xcKStsHhIqF.jpg,AB+,D,0.19885676663356505,188.14404,161.4909,161.61407,25.229712,48.88685,48.912697,170.41635,40.114346,0.24999688570538772
train,A+ (93)_jpg.rf.dTtpd1znaLUJfRwdOwu8.jpg,A+,D,0.1382424535761884,137.73505,85.41692,87.69449,24.248741,61.05326,59.361103,103.615486,47.451073,0.24994884756574592
train,A+ (93)_jpg.rf.dTtpd1znaLUJfRwdOwu8.jpg,A+,A,0.1843859783429587,123.61622,60.668327,65.23001,24.521711,65.54841,63.184166,83.17152,50.38302,0.24991426147542464
train,A- (85)_jpg.rf.ZbvGcL6xPsK3P3aBI08e.jpg,A-,A,0.21088878785354107,111.74628,136.47746,143.98352,34.611782,30.691792,30.295355,130.73575,29.195408,0.248158310155604
train,AB+ (147)_jpg.rf.UJ2eITgAZwycfJTFL9DV.jpg,AB+,A,0.182561729483715,137.54013,114.585144,110.47459,28.900555,49.466938,48.85633,120.86662,41.59217,0.24997083565567926
train,AB+ (147)_jpg.rf.UJ2eITgAZwycfJTFL9DV.jpg,AB+,D,0.17517464123168822,141.14424,86.55724,81.89996,23.653103,55.086617,54.206436,103.20047,42.90501,0.24999321923567225
train,AB+ (147)_jpg.rf.UJ2eITgAZwycfJTFL9DV.jpg,AB+,B,0.19954203882804722,158.87979,142.61826,105.92667,16.55253,41.67896,49.92804,135.80824,33.21777,0.2499036323202372
train,B- (25)_jpg.rf.Is3BWj7V9nPO02IHEd2x.jpg,B-,B,0.13088949945893785,164.27444,120.830055,90.41876,25.960875,76.0476,62.036674,125.17441,52.24666,0.24995169082125604
train,A+ (61)_jpg.rf.ZrGslcQqXCN19CYD9b2d.jpg,A+,A,0.19558361876276395,65.1333,83.39992,80.87005,37.41586,32.752434,35.609245,76.46776,34.42593,0.24979427254772876
train,A+ (61)_jpg.rf.ZrGslcQqXCN19CYD9b2d.jpg,A+,D,0.27654165179217516,167.97414,124.179306,117.97861,14.793281,37.92819,41.255135,136.71068,30.234482,0.24886443046820406
train,AB- (7)_jpg.rf.aKIxyZinxLNE5cWM7kP6.jpg,AB-,A,0.2147409420289855,115.03496,150.89256,157.3376,31.045393,26.894491,25.445412,141.08838,23.653942,0.2482838589981447
train,AB- (7)_jpg.rf.aKIxyZinxLNE5cWM7kP6.jpg,AB-,B,0.23410160853639114,159.34413,82.48789,70.4883,17.340542,54.82566,53.892685,104.10677,40.56506,0.25
train,AB- (71)_jpg.rf.08ZY3IXN0Khlfc1sp72m.jpg,AB-,A,0.2165195475468174,120.930115,147.65588,146.10779,38.719868,26.92481,26.250565,138.23128,26.940523,0.24997439705054023
train,AB- (71)_jpg.rf.08ZY3IXN0Khlfc1sp72m.jpg,AB-,B,0.24688614044394344,157.26773,127.52315,113.25564,14.287021,41.295464,43.529953,132.68216,31.372435,0.24998322710499832
train,AB+ (20)_jpg.rf.IjsSZbiZUOIBJcuX15K6.jpg,AB+,B,0.261474595634219,144.9965,122.55424,86.66339,19.263102,49.35699,50.065132,118.07137,37.340538,0.24997077868948267
train,AB+ (20)_jpg.rf.IjsSZbiZUOIBJcuX15K6.jpg,AB+,D,0.1816915821923853,145.82556,137.63046,138.15668,11.771769,21.743668,22.164875,140.53758,18.086046,0.2497313994090787
train,AB+ (20)_jpg.rf.IjsSZbiZUOIBJcuX15K6.jpg,AB+,A,0.2133987623287817,134.63637,150.56071,151.00403,31.112778,42.61952,40.39069,145.40038,36.47734,0.25000715000715
train,A- (8)_jpg.rf.IoN2haLpyzOFFXOsCr1V.jpg,A-,A,0.2624013739545998,138.42033,152.76418,153.23001,32.56047,41.838993,39.834183,148.13817,36.49399,0.24999026719786138
train,B+ (34)_jpg.rf.xo36of2DdyCslsPjudyi.jpg,B+,B,0.1852864065469403,150.72314,67.02357,69.726036,16.433624,66.81226,60.12786,95.82424,47.088013,0.24977777777777777
train,B+ (34)_jpg.rf.xo36of2DdyCslsPjudyi.jpg,B+,D,0.17694584734891675,151.87976,77.69715,81.64848,16.837563,62.2114,58.018936,103.7418,44.936096,0.249959214322589
train,A+ (189)_jpg.rf.anuXkIyJ6NI6K19bCcaz.jpg,A+,A,0.10618329163526156,113.425705,150.65569,156.58665,30.171783,27.633625,25.794024,140.22266,23.620169,0.21562505082044528
train,A+ (189)_jpg.rf.anuXkIyJ6NI6K19bCcaz.jpg,A+,D,0.10947717523844851,168.70076,123.47436,119.16321,14.63607,38.96904,41.35177,137.11276,30.651234,0.24361243598924484
train,A+ (89)_jpg.rf.CGmqc1YXDBLO1HiDRbFw.jpg,A+,A,0.23603560663775588,121.95721,143.9959,150.0328,34.926464,31.880962,31.2521,138.66197,29.91924,0.2499793661274348
train,A+ (89)_jpg.rf.CGmqc1YXDBLO1HiDRbFw.jpg,A+,D,0.19597093100484453,168.38013,121.85634,117.45131,14.754344,38.756943,40.829052,135.89592,30.429152,0.2498132935026139
train,A+ (183)_jpg.rf.MuB1vf75PsHVuUr9Fbzb.jpg,A+,A,0.2239536193845886,180.16737,139.64552,163.07753,27.112524,34.98297,35.30905,160.96347,31.43687,0.23981434234800017
train,A+ (183)_jpg.rf.MuB1vf75PsHVuUr9Fbzb.jpg,A+,D,0.15444476997872347,193.64766,108.2795,113.46793,11.828425,34.11837,37.582996,138.46504,27.492167,0.23706000603648084
train,B- (76)_jpg.rf.N4WReaCQ1jtMHWHRPZoP.jpg,B-,B,0.1729331271856075,147.54935,119.9297,93.39165,12.405269,34.119705,47.47679,120.290215,26.981125,0.24999363839356714
train,A+ (99)_jpg.rf.xrtddXbxgQDY4XL1O8ph.jpg,A+,D,0.13882758620689653,155.49062,132.66525,125.751625,9.10313,24.307405,28.962328,137.96916,19.491846,0.2499829779332116
train,A+ (99)_jpg.rf.xrtddXbxgQDY4XL1O8ph.jpg,A+,A,0.18367250416123743,104.02437,120.414536,117.8185,50.39909,46.761597,46.213173,114.0858,46.222164,0.24999062986075973
train,O+ (75)_jpg.rf.T9OmRQZp4rFhbe1wukga.jpg,O+,D,0.20909944792050056,175.31996,144.55238,134.70764,6.8662243,22.59528,26.895288,151.52667,18.194391,0.24996144070922272
train,O+ (32)_jpg.rf.kT8RUqE8Iq47QSncorvZ.jpg,O+,D,0.13478370044403076,158.42612,125.01652,124.09634,12.189445,34.463043,38.06799,135.84633,26.999022,0.24998930870057948
train,O+ (59)_jpg.rf.Iet7Gy6bgrsuRNdiSwud.jpg,O+,D,0.20012615456383143,153.94667,105.82889,101.11412,21.857094,42.09546,38.24979,120.29656,33.417343,0.25006535947712416
train,O+ (64)_jpg.rf.aJkmlPbx0fWYexRro1hr.jpg,O+,D,0.1514496067039698,85.23105,48.904175,50.044033,8.2172165,33.395622,33.54179,61.393085,24.180138,0.2485771294319857
train,B+ (86)_jpg.rf.elKq3rsRab0rpDp2jLAO.jpg,B+,B,0.14335303056698084,160.80263,110.73565,77.593956,26.023643,76.765976,56.96431,116.37742,50.705086,0.24992049294374877
train,B+ (86)_jpg.rf.elKq3rsRab0rpDp2jLAO.jpg,B+,D,0.17798614875978136,163.24364,95.8231,99.52578,17.819174,51.28368,46.525883,119.530815,37.714943,0.24987472813339587
train,A+ (18)_jpg.rf.GVrynxt2OrsYbkCuEA5q.jpg,A+,D,0.15045979265512746,153.21526,115.31554,114.159225,12.952579,44.08659,43.881294,127.56336,32.586094,0.24472245703014933
train,A+ (18)_jpg.rf.GVrynxt2OrsYbkCuEA5q.jpg,A+,A,0.15389414005287605,139.34077,151.25092,155.54439,18.488626,29.036682,27.871145,148.71202,23.230179,0.24210790367397345
train,AB+ (58)_jpg.rf.Mj2azbEQo1B1tPbKoF5L.jpg,AB+,A,0.20081022562059128,114.416916,147.117,144.73051,44.018883,28.702085,27.359835,135.4215,28.66412,0.24880614928879696
train,AB+ (58)_jpg.rf.Mj2azbEQo1B1tPbKoF5L.jpg,AB+,D,0.219952735319533,147.63446,108.58167,102.121315,12.271285,36.73022,35.926743,119.4458,27.48217,0.24711246200607903
train,AB+ (58)_jpg.rf.Mj2azbEQo1B1tPbKoF5L.jpg,AB+,B,0.24639667735922108,153.86362,123.720436,93.78438,15.297099,45.79019,49.35269,123.78946,34.589825,0.2499374947912326
train,B+ (77)_jpg.rf.ksUDtwgJO0eXRKGV8g9t.jpg,B+,D,0.14632843212927424,149.4571,62.834183,67.47686,15.2638445,53.940838,52.278755,93.256065,39.162437,0.2495786365755406
train,B+ (77)_jpg.rf.ksUDtwgJO0eXRKGV8g9t.jpg,B+,B,0.15076548602274917,132.63101,73.7483,60.232166,20.61287,67.19083,55.92798,88.870476,46.074608,0.249978455554391
train,AB+ (61)_jpg.rf.kYkV3hT0D56w9osNecqI.jpg,AB+,D,0.24687232317872987,144.09267,82.83765,81.794945,24.992735,54.631115,50.786488,102.908424,42.13597,0.24960923983725286
train,AB+ (61)_jpg.rf.kYkV3hT0D56w9osNecqI.jpg,AB+,A,0.16483207764071273,140.0326,148.11893,157.38618,15.2939,31.313509,31.728575,148.51256,25.16998,0.24980289564220184
train,AB+ (61)_jpg.rf.kYkV3hT0D56w9osNecqI.jpg,AB+,B,0.21887261027840416,152.53857,99.25461,71.687,13.96747,40.994743,47.297615,107.82672,32.561188,0.24992254327473565
train,B- (54)_jpg.rf.CLrDgtKh5tJs7LBPfc3r.jpg,B-,B,0.16133238175187353,153.63951,153.9805,151.33443,22.532274,28.177217,38.36826,152.98479,29.295753,0.23749181739879413
train,B- (22)_jpeg.rf.kgkhbND5NpWP118E4Evb.jpeg,B-,B,0.16207145810236512,161.90387,132.76768,105.619484,12.833071,40.99626,45.990593,133.43034,31.733389,0.24998217087434033
train,O+ (169)_jpg.rf.fMSQl2qtRkMZzoXbxvT1.jpg,O+,D,0.17018079223995108,168.70113,110.28963,97.63201,13.164691,45.43552,50.69687,125.5409,34.270252,0.24989763620883512
train,A- (26)_jpg.rf.NLb86IQyXqIdZWYliziG.jpg,A-,A,0.2613840718562874,114.2019,150.66649,156.93675,30.801,27.116394,25.539766,140.60172,23.595524,0.24956449786603954
train,AB+ (29)_jpg.rf.g4nHZx7x7kmZjxFbxGkx.jpg,AB+,B,0.22364992942242942,150.61009,127.0686,105.81455,13.146842,35.841843,43.90376,127.831085,29.345434,0.25
train,AB+ (29)_jpg.rf.g4nHZx7x7kmZjxFbxGkx.jpg,AB+,A,0.31386533119658117,126.9618,141.01541,143.59203,32.564564,36.903263,36.17459,137.18974,33.942753,0.24971443272446617
train,AB+ (29)_jpg.rf.g4nHZx7x7kmZjxFbxGkx.jpg,AB+,D,0.1818717948717949,171.74951,118.01999,113.484665,6.0811443,30.248451,31.730064,134.41805,21.771513,0.24980387961774356
train,O+ (45)_jpg.rf.NOWolstYcAvfUiqu1yrj.jpg,O+,D,0.19439748167515183,118.46003,87.45389,88.05578,38.04151,65.926125,66.49765,97.98989,56.215206,0.24921376831584838
train,A+ (64)_jpg.rf.kj2EFuV40a4GvNjQhSFI.jpg,A+,D,0.1357353279327693,165.11104,134.1688,134.99094,15.053839,52.565536,52.792572,144.75688,39.234516,0.24819052774018943
train,A+ (64)_jpg.rf.kj2EFuV40a4GvNjQhSFI.jpg,A+,A,0.11976903032356409,139.05093,69.38316,69.27499,15.925619,65.07501,60.891006,92.56967,46.450977,0.24673966294336663
train,AB- (36)_jpg.rf.kJffi0uOnAkBGcETxWnP.jpg,AB-,B,0.24929497316465404,160.93211,155.50716,117.93276,12.999735,18.565018,34.311134,144.7907,20.162016,0.24979447622046141
train,AB- (36)_jpg.rf.kJffi0uOnAkBGcETxWnP.jpg,AB-,A,0.21750561973966231,111.353386,149.85258,156.29123,30.088936,28.084614,26.445602,139.16573,23.978369,0.24958028540592397
train,AB- (80)_jpg.rf.CK0V4SPeaeTGppvlAPGx.jpg,AB-,A,0.23960743801652892,129.42398,139.62488,148.0073,19.889578,38.630264,38.304237,139.01872,29.56065,0.25
train,AB- (80)_jpg.rf.CK0V4SPeaeTGppvlAPGx.jpg,AB-,B,0.21046579430670342,141.32715,94.457146,67.79528,16.774702,43.34096,41.332962,101.193184,31.796652,0.24999148356327713
train,AB- (44)_jpg.rf.lC0RaThBnN3tCQiAQZrj.jpg,AB-,A,0.23606395533572624,121.84561,126.21061,122.84192,23.373892,25.982971,25.579039,123.632706,24.358921,0.24982440737489026
train,AB- (44)_jpg.rf.lC0RaThBnN3tCQiAQZrj.jpg,AB-,B,0.21726836984400041,161.71706,136.72281,107.142494,14.029715,50.76905,51.83148,135.19412,36.97388,0.24998406323707528
train,AB- (18)_jpg.rf.l0qEPn8esbEZwHRwkPqz.jpg,AB-,A,0.2626959038805541,110.140274,149.34889,156.0007,29.752598,28.837196,27.303988,138.49661,24.446852,0.24992784992784992
train,AB- (18)_jpg.rf.l0qEPn8esbEZwHRwkPqz.jpg,AB-,B,0.23289004201632998,157.62633,125.31759,111.83245,17.64539,44.15599,45.480133,131.59212,34.539486,0.25000406246445345
train,B+ (39)_jpg.rf.NkfFMNQY1cwEWKY8pQQJ.jpg,B+,B,0.1308620234413809,157.12901,143.07326,140.32648,10.68671,39.995323,47.524628,146.8429,31.421597,0.23287395187594992
