split,annotation_id,image_id,file_name,original_name,blood_group,category_id,category_name,bbox_x,bbox_y,bbox_w,bbox_h,bbox_area,bbox_area_ratio,image_width,image_height,image_path
train,11,6,AB+ (65)_jpg.rf.zdz4tb5LQL1bIP4xVzJ3.jpg,AB+ (65).jpg,AB+,3,D,28.37,2.91,247.39,245.09,60632.8151,0.26374019165187734,927,248,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB+ (65)_jpg.rf.zdz4tb5LQL1bIP4xVzJ3.jpg
train,12,6,AB+ (65)_jpg.rf.zdz4tb5LQL1bIP4xVzJ3.jpg,AB+ (65).jpg,AB+,2,B,704.73,2.91,185.47,244.1,45273.227,0.1969291636218116,927,248,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB+ (65)_jpg.rf.zdz4tb5LQL1bIP4xVzJ3.jpg
train,13,7,B- (59)_jpg.rf.ZHIVH741SpFVio83pHHl.jpg,B- (59).jpg,B-,3,D,793.0,113.01,481.73,559.33,269446.0409,0.1443667171560223,2333,800,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (59)_jpg.rf.ZHIVH741SpFVio83pHHl.jpg
train,14,8,AB- (78)_jpg.rf.YdudfjWrJqkNQjLgATv5.jpg,AB- (78).jpg,AB-,1,A,5.78,4.67,283.71,337.89,95862.77189999999,0.2453088455515067,1136,344,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (78)_jpg.rf.YdudfjWrJqkNQjLgATv5.jpg
train,15,8,AB- (78)_jpg.rf.YdudfjWrJqkNQjLgATv5.jpg,AB- (78).jpg,AB-,2,B,798.0,0.0,336.68,331.01,111444.4468,0.28518170344742877,1136,344,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (78)_jpg.rf.YdudfjWrJqkNQjLgATv5.jpg
train,16,9,A+ (64)_jpg.rf.ZA6drWo0hodhbR2tcAy8.jpg,A+ (64).jpg,A+,1,A,13.2,5.21,250.54,352.89,88413.0606,0.2385828024480808,1007,368,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (64)_jpg.rf.ZA6drWo0hodhbR2tcAy8.jpg
train,17,9,A+ (64)_jpg.rf.ZA6drWo0hodhbR2tcAy8.jpg,A+ (64).jpg,A+,3,D,361.2,18.19,286.48,344.69,98746.7912,0.26646839298821295,1007,368,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (64)_jpg.rf.ZA6drWo0hodhbR2tcAy8.jpg
train,18,10,A+ (115)_jpg.rf.t5ZjzJUWZdugvB7fmADQ.jpg,A+ (115).jpg,A+,1,A,84.0,60.67,771.1,815.82,629078.802,0.18613572121367777,2906,1163,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (115)_jpg.rf.t5ZjzJUWZdugvB7fmADQ.jpg
train,19,10,A+ (115)_jpg.rf.t5ZjzJUWZdugvB7fmADQ.jpg,A+ (115).jpg,A+,3,D,2114.0,224.0,759.43,884.34,671594.3262,0.198715477095747,2906,1163,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (115)_jpg.rf.t5ZjzJUWZdugvB7fmADQ.jpg
train,20,11,B- (34)_jpg.rf.zhBikSJtsxBEfd2lXm2i.jpg,B- (34).jpg,B-,2,B,770.5,130.51,666.22,616.31,410598.04819999996,0.18710852081489654,2474,887,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (34)_jpg.rf.zhBikSJtsxBEfd2lXm2i.jpg
train,21,12,A- (132)_jpg.rf.ZHf6J25pmB57kvClR6Lf.jpg,A- (132).jpg,A-,1,A,1315.5,63.0,506.18,631.37,319586.8666,0.12152931943065966,2745,958,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A- (132)_jpg.rf.ZHf6J25pmB57kvClR6Lf.jpg
train,22,13,O+ (56)_jpg.rf.t7RHNVBJ2syMHpPEryW6.jpg,O+ (56).jpg,O+,3,D,1180.67,354.0,772.93,544.44,420814.00920000003,0.12868174382421582,3088,1059,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (56)_jpg.rf.t7RHNVBJ2syMHpPEryW6.jpg
train,23,14,B- (113)_jpg.rf.G7GWTebfO18cYpnZOpWz.jpg,B- (113).jpg,B-,2,B,96.0,24.0,532.0,596.0,317072.0,0.20541046202324173,2202,701,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (113)_jpg.rf.G7GWTebfO18cYpnZOpWz.jpg
train,24,15,A- (53)_jpg.rf.Gc55L44YCE27lUS0oLiV.jpg,A- (53).jpg,A-,1,A,4.7,3.54,82.13,109.2,8968.596,0.20346179673321232,380,116,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A- (53)_jpg.rf.Gc55L44YCE27lUS0oLiV.jpg
train,25,16,A+ (17)_jpg.rf.UAa3D6QpD2D2Oab4c1PC.jpg,A+ (17).jpg,A+,3,D,183.0,150.5,586.36,707.28,414720.7008,0.1449022599012184,2817,1016,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (17)_jpg.rf.UAa3D6QpD2D2Oab4c1PC.jpg
train,26,16,A+ (17)_jpg.rf.UAa3D6QpD2D2Oab4c1PC.jpg,A+ (17).jpg,A+,1,A,2095.5,185.5,541.55,610.32,330518.796,0.11548234845244983,2817,1016,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (17)_jpg.rf.UAa3D6QpD2D2Oab4c1PC.jpg
train,27,17,O+ (25)_jpg.rf.tG5zhy89nvnHJvmgnwRb.jpg,O+ (25).jpg,O+,3,D,194.0,24.0,535.78,718.5,384957.93,0.14204670341834927,2880,941,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (25)_jpg.rf.tG5zhy89nvnHJvmgnwRb.jpg
train,28,18,B- (21)_jpg.rf.ZKSil1cxgTzyFcBuJDx0.jpg,B- (21).jpg,B-,2,B,1778.0,235.5,443.08,457.34,202638.20719999998,0.09954794653524492,2356,864,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (21)_jpg.rf.ZKSil1cxgTzyFcBuJDx0.jpg
train,29,19,B- (87)_jpg.rf.TaTsXps6dSOAdnwV0n8s.jpg,B- (87).jpg,B-,2,B,537.01,22.0,357.15,470.53,168049.78949999998,0.1955918619484023,1597,538,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (87)_jpg.rf.TaTsXps6dSOAdnwV0n8s.jpg
train,30,20,B- (121)_jpg.rf.d7kkrgCEF72tn7szdYE9.jpg,B- (121).jpg,B-,2,B,143.0,138.0,509.84,611.28,311654.99519999995,0.16520520590817142,2394,788,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (121)_jpg.rf.d7kkrgCEF72tn7szdYE9.jpg
train,31,21,B+ (35)_jpg.rf.GkqQZOcUVB1o6DorvciF.jpg,B+ (35).jpg,B+,2,B,995.5,115.5,583.2,676.5,394534.80000000005,0.19064293915040187,2613,792,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B+ (35)_jpg.rf.GkqQZOcUVB1o6DorvciF.jpg
train,32,21,B+ (35)_jpg.rf.GkqQZOcUVB1o6DorvciF.jpg,B+ (35).jpg,B+,3,D,143.0,135.5,529.86,656.5,347853.09,0.1680858962761948,2613,792,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B+ (35)_jpg.rf.GkqQZOcUVB1o6DorvciF.jpg
train,33,22,A+ (126)_jpg.rf.UIxr3gZswpEVwchxeYkM.jpg,A+ (126).jpg,A+,1,A,10.5,40.5,505.87,637.87,322679.2969,0.139584678398242,2510,921,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (126)_jpg.rf.UIxr3gZswpEVwchxeYkM.jpg
train,34,22,A+ (126)_jpg.rf.UIxr3gZswpEVwchxeYkM.jpg,A+ (126).jpg,A+,3,D,1753.0,233.0,537.08,587.28,315416.3424,0.13644286800680017,2510,921,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (126)_jpg.rf.UIxr3gZswpEVwchxeYkM.jpg
train,35,23,O+ (40)_jpg.rf.t9tUBMvHBKcKwMfbx56j.jpg,O+ (40).jpg,O+,3,D,70.67,84.0,523.16,873.76,457116.2816,0.1319339429035863,3088,1122,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (40)_jpg.rf.t9tUBMvHBKcKwMfbx56j.jpg
train,36,24,A- (42)_jpg.rf.t8WVs1VNNrmAgBYgoJ0O.jpg,A- (42).jpg,A-,1,A,1.23,3.15,107.36,115.5,12400.08,0.26428132992327363,391,120,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A- (42)_jpg.rf.t8WVs1VNNrmAgBYgoJ0O.jpg
train,37,25,A+ (185)_jpg.rf.ZjoKPUb4odl2CXA0Exne.jpg,A+ (185).jpg,A+,1,A,70.4,48.41,378.7,530.27,200813.24899999998,0.12600853450699276,2142,744,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (185)_jpg.rf.ZjoKPUb4odl2CXA0Exne.jpg
train,38,25,A+ (185)_jpg.rf.ZjoKPUb4odl2CXA0Exne.jpg,A+ (185).jpg,A+,3,D,1652.4,130.4,396.44,568.2,225257.208,0.14134690220174093,2142,744,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (185)_jpg.rf.ZjoKPUb4odl2CXA0Exne.jpg
train,39,26,B+ (84)_jpg.rf.HdHqNUeZn4pfsuum0ttD.jpg,B+ (84).jpg,B+,3,D,1300.67,180.66,580.94,813.7,472710.8780000001,0.14963826738891509,3088,1023,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B+ (84)_jpg.rf.HdHqNUeZn4pfsuum0ttD.jpg
train,40,26,B+ (84)_jpg.rf.HdHqNUeZn4pfsuum0ttD.jpg,B+ (84).jpg,B+,2,B,2370.67,207.33,686.75,815.67,560161.3724999999,0.17732102462659352,3088,1023,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B+ (84)_jpg.rf.HdHqNUeZn4pfsuum0ttD.jpg
train,41,27,AB- (23)_jpg.rf.GrLMrfr10CSchgBmcazu.jpg,AB- (23).jpg,AB-,1,A,46.89,36.89,251.71,256.58,64583.7518,0.18315136986884084,1085,325,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (23)_jpg.rf.GrLMrfr10CSchgBmcazu.jpg
train,42,27,AB- (23)_jpg.rf.GrLMrfr10CSchgBmcazu.jpg,AB- (23).jpg,AB-,1,A,423.55,10.22,260.75,314.78,82078.885,0.23276535980148882,1085,325,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (23)_jpg.rf.GrLMrfr10CSchgBmcazu.jpg
train,43,28,B- (118)_jpg.rf.daLUPoh0QCdZbVSBuDGb.jpg,B- (118).jpg,B-,2,B,125.5,148.0,630.36,757.25,477340.11,0.17331478334749362,2782,990,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (118)_jpg.rf.daLUPoh0QCdZbVSBuDGb.jpg
train,44,29,B+ (98)_jpg.rf.dCJrGx1UPgwtaLEcswnn.jpg,B+ (98).jpg,B+,2,B,1198.0,23.0,715.66,857.23,613485.2217999999,0.24523556844855482,2743,912,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B+ (98)_jpg.rf.dCJrGx1UPgwtaLEcswnn.jpg
train,45,29,B+ (98)_jpg.rf.dCJrGx1UPgwtaLEcswnn.jpg,B+ (98).jpg,B+,3,D,80.5,48.0,653.36,818.24,534605.2864,0.21370397630971338,2743,912,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B+ (98)_jpg.rf.dCJrGx1UPgwtaLEcswnn.jpg
train,46,30,AB- (85)_jpg.rf.dEVuyNWpBW1wXtW8CtCF.jpg,AB- (85).jpg,AB-,1,A,214.01,3.23,198.53,209.77,41645.638100000004,0.2613896092239713,748,213,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (85)_jpg.rf.dEVuyNWpBW1wXtW8CtCF.jpg
train,47,30,AB- (85)_jpg.rf.dEVuyNWpBW1wXtW8CtCF.jpg,AB- (85).jpg,AB-,2,B,487.08,3.23,238.02,209.77,49929.455400000006,0.31338314001657,748,213,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (85)_jpg.rf.dEVuyNWpBW1wXtW8CtCF.jpg
train,48,31,B- (141)_jpg.rf.wl3GIJ7tuOkt3Pq7VnxB.jpg,B- (141).jpg,B-,2,B,1693.0,78.98,591.07,664.3,392647.801,0.21230677947222829,2347,788,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (141)_jpg.rf.wl3GIJ7tuOkt3Pq7VnxB.jpg
train,49,32,O+ (182)_jpg.rf.G4mo79Q10bfXsUdtuncl.jpg,O+ (182).jpg,O+,3,D,190.66,0.0,412.48,629.24,259548.91520000002,0.09313878300062081,2918,955,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (182)_jpg.rf.G4mo79Q10bfXsUdtuncl.jpg
train,50,33,A- (135)_jpg.rf.eXTlFV0HU5Cpu60Zl1FH.jpg,A- (135).jpg,A-,1,A,1268.0,193.0,542.17,672.25,364473.7825,0.14833807988285128,2706,908,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A- (135)_jpg.rf.eXTlFV0HU5Cpu60Zl1FH.jpg
train,51,34,A+ (167)_jpg.rf.MCPJsgr54JAiTWifQfWJ.jpg,A+ (167).jpg,A+,1,A,60.66,87.33,722.45,750.49,542191.5005000001,0.16905157229468817,2929,1095,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (167)_jpg.rf.MCPJsgr54JAiTWifQfWJ.jpg
train,52,34,A+ (167)_jpg.rf.MCPJsgr54JAiTWifQfWJ.jpg,A+ (167).jpg,A+,3,D,2180.67,137.33,666.1,788.43,525173.223,0.16374539068455735,2929,1095,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (167)_jpg.rf.MCPJsgr54JAiTWifQfWJ.jpg
train,53,35,O+ (180)_jpg.rf.IgEjukIm1daa6a2wDoee.jpg,O+ (180).jpg,O+,3,D,347.33,224.01,801.1,854.37,684435.807,0.1596977490888558,3542,1210,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (180)_jpg.rf.IgEjukIm1daa6a2wDoee.jpg
train,54,36,A+ (4)_jpg.rf.eOeeLGsvE9QZhcayYlNN.jpg,A+ (4).jpg,A+,1,A,48.4,28.39,540.28,605.07,326907.2196,0.1856583482507951,2201,800,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (4)_jpg.rf.eOeeLGsvE9QZhcayYlNN.jpg
train,55,36,A+ (4)_jpg.rf.eOeeLGsvE9QZhcayYlNN.jpg,A+ (4).jpg,A+,3,D,1678.4,136.41,513.22,645.91,331493.9302,0.18826324977283054,2201,800,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (4)_jpg.rf.eOeeLGsvE9QZhcayYlNN.jpg
train,56,37,B- (34)_jpg.rf.ZYssLXCCV4RnQXvGnkOi.jpg,B- (34).jpg,B-,2,B,333.2,5.2,277.28,295.8,82019.424,0.26740900954945734,1019,301,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (34)_jpg.rf.ZYssLXCCV4RnQXvGnkOi.jpg
train,57,38,B- (97)_jpg.rf.H1HIhHIEfwhSvJk35EKx.jpg,B- (97).jpg,B-,2,B,657.0,38.67,312.48,433.53,135469.4544,0.16617044026082986,1657,492,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (97)_jpg.rf.H1HIhHIEfwhSvJk35EKx.jpg
train,58,39,AB- (28)_jpg.rf.ecjFS71y6FZBXDr2VSbW.jpg,AB- (28).jpg,AB-,2,B,365.78,0.22,277.87,304.78,84689.2186,0.2573397304729637,1079,305,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (28)_jpg.rf.ecjFS71y6FZBXDr2VSbW.jpg
train,59,39,AB- (28)_jpg.rf.ecjFS71y6FZBXDr2VSbW.jpg,AB- (28).jpg,AB-,1,A,700.22,0.0,324.7,305.0,99033.5,0.30092678405931417,1079,305,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (28)_jpg.rf.ecjFS71y6FZBXDr2VSbW.jpg
train,60,40,A+ (90)_jpg.rf.MXUQiGndwZvdsXNfF6ak.jpg,A+ (90).jpg,A+,3,D,1140.67,10.67,690.29,937.76,647326.3504,0.1891935097547745,3088,1108,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (90)_jpg.rf.MXUQiGndwZvdsXNfF6ak.jpg
train,61,40,A+ (90)_jpg.rf.MXUQiGndwZvdsXNfF6ak.jpg,A+ (90).jpg,A+,1,A,2257.33,50.66,680.1,895.09,608750.709,0.17791904057396982,3088,1108,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (90)_jpg.rf.MXUQiGndwZvdsXNfF6ak.jpg
train,62,41,AB- (86)_jpg.rf.dilF52UbeWE9NWRjjMgx.jpg,AB- (86).jpg,AB-,2,B,645.5,25.5,501.76,554.37,278160.6912,0.15701011577040094,2378,745,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (86)_jpg.rf.dilF52UbeWE9NWRjjMgx.jpg
train,63,41,AB- (86)_jpg.rf.dilF52UbeWE9NWRjjMgx.jpg,AB- (86).jpg,AB-,1,A,38.0,5.5,471.36,484.43,228340.9248,0.12888893424625059,2378,745,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (86)_jpg.rf.dilF52UbeWE9NWRjjMgx.jpg
train,64,42,O+ (168)_jpg.rf.0JLpzTEL903s5Y15hgY2.jpg,O+ (168).jpg,O+,3,D,2043.0,58.0,621.03,767.26,476491.4778,0.2054408424561765,2669,869,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (168)_jpg.rf.0JLpzTEL903s5Y15hgY2.jpg
train,65,43,B- (34)_jpeg.rf.xZxD1Ssx843ec1F5otu4.jpeg,B- (34).jpeg,B-,2,B,630.34,60.33,334.47,391.24,130858.04280000001,0.141967881320627,1557,592,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (34)_jpeg.rf.xZxD1Ssx843ec1F5otu4.jpeg
train,66,44,B- (17)_jpg.rf.HxoLnaLEML5S0JQ58eBR.jpg,B- (17).jpg,B-,2,B,614.58,14.56,356.39,425.87,151775.8093,0.22346788101604276,1496,454,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (17)_jpg.rf.HxoLnaLEML5S0JQ58eBR.jpg
train,67,45,O+ (65)_jpg.rf.eag0hQ2Lgx5EifnTwG54.jpg,O+ (65).jpg,O+,3,D,1247.33,220.67,668.94,716.48,479282.13120000006,0.12347489581658774,3088,1257,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (65)_jpg.rf.eag0hQ2Lgx5EifnTwG54.jpg
train,68,46,O+ (35)_jpg.rf.JW9LW9J8zWKZ3p4BBTtI.jpg,O+ (35).jpg,O+,3,D,1180.67,160.67,708.94,749.74,531520.6756000001,0.17126822996416882,3088,1005,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (35)_jpg.rf.JW9LW9J8zWKZ3p4BBTtI.jpg
train,69,47,AB+ (150)_jpg.rf.x83fM9Rd8xcKStsHhIqF.jpg,AB+ (150).jpg,AB+,1,A,68.85,17.44,361.63,475.57,171980.3791,0.21348110613207547,1520,530,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB+ (150)_jpg.rf.x83fM9Rd8xcKStsHhIqF.jpg
train,70,47,AB+ (150)_jpg.rf.x83fM9Rd8xcKStsHhIqF.jpg,AB+ (150).jpg,AB+,2,B,544.57,20.28,376.12,477.29,179518.31480000002,0.22283802730883817,1520,530,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB+ (150)_jpg.rf.x83fM9Rd8xcKStsHhIqF.jpg
train,71,47,AB+ (150)_jpg.rf.x83fM9Rd8xcKStsHhIqF.jpg,AB+ (150).jpg,AB+,3,D,1080.29,16.0,337.46,474.72,160199.0112,0.19885676663356505,1520,530,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB+ (150)_jpg.rf.x83fM9Rd8xcKStsHhIqF.jpg
train,72,48,A+ (93)_jpg.rf.dTtpd1znaLUJfRwdOwu8.jpg,A+ (93).jpg,A+,3,D,860.5,113.0,434.22,573.32,248947.01040000003,0.1382424535761884,2251,800,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (93)_jpg.rf.dTtpd1znaLUJfRwdOwu8.jpg
train,73,48,A+ (93)_jpg.rf.dTtpd1znaLUJfRwdOwu8.jpg,A+ (93).jpg,A+,1,A,1618.0,90.5,530.58,625.81,332042.2698,0.1843859783429587,2251,800,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (93)_jpg.rf.dTtpd1znaLUJfRwdOwu8.jpg
train,74,49,A- (85)_jpg.rf.ZbvGcL6xPsK3P3aBI08e.jpg,A- (85).jpg,A-,1,A,13.82,3.82,211.76,251.02,53155.9952,0.21088878785354107,897,281,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A- (85)_jpg.rf.ZbvGcL6xPsK3P3aBI08e.jpg
train,75,50,AB+ (147)_jpg.rf.UJ2eITgAZwycfJTFL9DV.jpg,AB+ (147).jpg,AB+,1,A,525.34,25.34,357.48,430.88,154030.9824,0.182561729483715,1580,534,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB+ (147)_jpg.rf.UJ2eITgAZwycfJTFL9DV.jpg
train,76,50,AB+ (147)_jpg.rf.UJ2eITgAZwycfJTFL9DV.jpg,AB+ (147).jpg,AB+,3,D,73.66,41.99,322.57,458.19,147798.34829999998,0.17517464123168822,1580,534,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB+ (147)_jpg.rf.UJ2eITgAZwycfJTFL9DV.jpg
train,77,50,AB+ (147)_jpg.rf.UJ2eITgAZwycfJTFL9DV.jpg,AB+ (147).jpg,AB+,2,B,1123.67,35.34,355.05,474.18,168357.609,0.19954203882804722,1580,534,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB+ (147)_jpg.rf.UJ2eITgAZwycfJTFL9DV.jpg
train,78,51,B- (25)_jpg.rf.Is3BWj7V9nPO02IHEd2x.jpg,B- (25).jpg,B-,2,B,1775.5,158.0,486.08,574.82,279408.50560000003,0.13088949945893785,2465,866,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (25)_jpg.rf.Is3BWj7V9nPO02IHEd2x.jpg
train,79,52,A+ (61)_jpg.rf.ZrGslcQqXCN19CYD9b2d.jpg,A+ (61).jpg,A+,1,A,6.89,5.78,217.05,336.22,72976.551,0.19558361876276395,1091,342,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (61)_jpg.rf.ZrGslcQqXCN19CYD9b2d.jpg
train,80,52,A+ (61)_jpg.rf.ZrGslcQqXCN19CYD9b2d.jpg,A+ (61).jpg,A+,3,D,338.01,13.56,324.09,318.38,103183.77419999999,0.27654165179217516,1091,342,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (61)_jpg.rf.ZrGslcQqXCN19CYD9b2d.jpg
train,81,53,AB- (7)_jpg.rf.aKIxyZinxLNE5cWM7kP6.jpg,AB- (7).jpg,AB-,1,A,364.2,5.2,220.29,293.8,64721.202,0.2147409420289855,1008,299,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (7)_jpg.rf.aKIxyZinxLNE5cWM7kP6.jpg
train,82,53,AB- (7)_jpg.rf.aKIxyZinxLNE5cWM7kP6.jpg,AB- (7).jpg,AB-,2,B,31.2,14.2,247.74,284.8,70556.352,0.23410160853639114,1008,299,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (7)_jpg.rf.aKIxyZinxLNE5cWM7kP6.jpg
