split,image_id,file_name,original_name,blood_group,abo,rh,width,height,image_area,image_path
train,10,A+ (115)_jpg.rf.t5ZjzJUWZdugvB7fmADQ.jpg,A+ (115).jpg,A+,A,+,2906,1163,3379678,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (115)_jpg.rf.t5ZjzJUWZdugvB7fmADQ.jpg
train,11,B- (34)_jpg.rf.zhBikSJtsxBEfd2lXm2i.jpg,B- (34).jpg,B-,B,-,2474,887,2194438,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (34)_jpg.rf.zhBikSJtsxBEfd2lXm2i.jpg
train,12,A- (132)_jpg.rf.ZHf6J25pmB57kvClR6Lf.jpg,A- (132).jpg,A-,A,-,2745,958,2629710,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A- (132)_jpg.rf.ZHf6J25pmB57kvClR6Lf.jpg
train,13,O+ (56)_jpg.rf.t7RHNVBJ2syMHpPEryW6.jpg,O+ (56).jpg,O+,O,+,3088,1059,3270192,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (56)_jpg.rf.t7RHNVBJ2syMHpPEryW6.jpg
train,14,B- (113)_jpg.rf.G7GWTebfO18cYpnZOpWz.jpg,B- (113).jpg,B-,B,-,2202,701,1543602,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (113)_jpg.rf.G7GWTebfO18cYpnZOpWz.jpg
train,15,A- (53)_jpg.rf.Gc55L44YCE27lUS0oLiV.jpg,A- (53).jpg,A-,A,-,380,116,44080,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A- (53)_jpg.rf.Gc55L44YCE27lUS0oLiV.jpg
train,16,A+ (17)_jpg.rf.UAa3D6QpD2D2Oab4c1PC.jpg,A+ (17).jpg,A+,A,+,2817,1016,2862072,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (17)_jpg.rf.UAa3D6QpD2D2Oab4c1PC.jpg
train,17,O+ (25)_jpg.rf.tG5zhy89nvnHJvmgnwRb.jpg,O+ (25).jpg,O+,O,+,2880,941,2710080,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (25)_jpg.rf.tG5zhy89nvnHJvmgnwRb.jpg
train,18,B- (21)_jpg.rf.ZKSil1cxgTzyFcBuJDx0.jpg,B- (21).jpg,B-,B,-,2356,864,2035584,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (21)_jpg.rf.ZKSil1cxgTzyFcBuJDx0.jpg
train,19,B- (87)_jpg.rf.TaTsXps6dSOAdnwV0n8s.jpg,B- (87).jpg,B-,B,-,1597,538,859186,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (87)_jpg.rf.TaTsXps6dSOAdnwV0n8s.jpg
train,20,B- (121)_jpg.rf.d7kkrgCEF72tn7szdYE9.jpg,B- (121).jpg,B-,B,-,2394,788,1886472,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (121)_jpg.rf.d7kkrgCEF72tn7szdYE9.jpg
train,21,B+ (35)_jpg.rf.GkqQZOcUVB1o6DorvciF.jpg,B+ (35).jpg,B+,B,+,2613,792,2069496,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B+ (35)_jpg.rf.GkqQZOcUVB1o6DorvciF.jpg
train,22,A+ (126)_jpg.rf.UIxr3gZswpEVwchxeYkM.jpg,A+ (126).jpg,A+,A,+,2510,921,2311710,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (126)_jpg.rf.UIxr3gZswpEVwchxeYkM.jpg
train,23,O+ (40)_jpg.rf.t9tUBMvHBKcKwMfbx56j.jpg,O+ (40).jpg,O+,O,+,3088,1122,3464736,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (40)_jpg.rf.t9tUBMvHBKcKwMfbx56j.jpg
train,24,A- (42)_jpg.rf.t8WVs1VNNrmAgBYgoJ0O.jpg,A- (42).jpg,A-,A,-,391,120,46920,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A- (42)_jpg.rf.t8WVs1VNNrmAgBYgoJ0O.jpg
train,25,A+ (185)_jpg.rf.ZjoKPUb4odl2CXA0Exne.jpg,A+ (185).jpg,A+,A,+,2142,744,1593648,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (185)_jpg.rf.ZjoKPUb4odl2CXA0Exne.jpg
train,26,B+ (84)_jpg.rf.HdHqNUeZn4pfsuum0ttD.jpg,B+ (84).jpg,B+,B,+,3088,1023,3159024,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B+ (84)_jpg.rf.HdHqNUeZn4pfsuum0ttD.jpg
train,27,AB- (23)_jpg.rf.GrLMrfr10CSchgBmcazu.jpg,AB- (23).jpg,AB-,AB,-,1085,325,352625,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (23)_jpg.rf.GrLMrfr10CSchgBmcazu.jpg
train,28,B- (118)_jpg.rf.daLUPoh0QCdZbVSBuDGb.jpg,B- (118).jpg,B-,B,-,2782,990,2754180,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (118)_jpg.rf.daLUPoh0QCdZbVSBuDGb.jpg
train,29,B+ (98)_jpg.rf.dCJrGx1UPgwtaLEcswnn.jpg,B+ (98).jpg,B+,B,+,2743,912,2501616,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B+ (98)_jpg.rf.dCJrGx1UPgwtaLEcswnn.jpg
train,30,AB- (85)_jpg.rf.dEVuyNWpBW1wXtW8CtCF.jpg,AB- (85).jpg,AB-,AB,-,748,213,159324,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (85)_jpg.rf.dEVuyNWpBW1wXtW8CtCF.jpg
train,31,B- (141)_jpg.rf.wl3GIJ7tuOkt3Pq7VnxB.jpg,B- (141).jpg,B-,B,-,2347,788,1849436,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (141)_jpg.rf.wl3GIJ7tuOkt3Pq7VnxB.jpg
train,32,O+ (182)_jpg.rf.G4mo79Q10bfXsUdtuncl.jpg,O+ (182).jpg,O+,O,+,2918,955,2786690,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (182)_jpg.rf.G4mo79Q10bfXsUdtuncl.jpg
train,33,A- (135)_jpg.rf.eXTlFV0HU5Cpu60Zl1FH.jpg,A- (135).jpg,A-,A,-,2706,908,2457048,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A- (135)_jpg.rf.eXTlFV0HU5Cpu60Zl1FH.jpg
train,34,A+ (167)_jpg.rf.MCPJsgr54JAiTWifQfWJ.jpg,A+ (167).jpg,A+,A,+,2929,1095,3207255,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (167)_jpg.rf.MCPJsgr54JAiTWifQfWJ.jpg
train,35,O+ (180)_jpg.rf.IgEjukIm1daa6a2wDoee.jpg,O+ (180).jpg,O+,O,+,3542,1210,4285820,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (180)_jpg.rf.IgEjukIm1daa6a2wDoee.jpg
train,36,A+ (4)_jpg.rf.eOeeLGsvE9QZhcayYlNN.jpg,A+ (4).jpg,A+,A,+,2201,800,1760800,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (4)_jpg.rf.eOeeLGsvE9QZhcayYlNN.jpg
train,37,B- (34)_jpg.rf.ZYssLXCCV4RnQXvGnkOi.jpg,B- (34).jpg,B-,B,-,1019,301,306719,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (34)_jpg.rf.ZYssLXCCV4RnQXvGnkOi.jpg
train,38,B- (97)_jpg.rf.H1HIhHIEfwhSvJk35EKx.jpg,B- (97).jpg,B-,B,-,1657,492,815244,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (97)_jpg.rf.H1HIhHIEfwhSvJk35EKx.jpg
train,39,AB- (28)_jpg.rf.ecjFS71y6FZBXDr2VSbW.jpg,AB- (28).jpg,AB-,AB,-,1079,305,329095,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (28)_jpg.rf.ecjFS71y6FZBXDr2VSbW.jpg
train,40,A+ (90)_jpg.rf.MXUQiGndwZvdsXNfF6ak.jpg,A+ (90).jpg,A+,A,+,3088,1108,3421504,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (90)_jpg.rf.MXUQiGndwZvdsXNfF6ak.jpg
train,41,AB- (86)_jpg.rf.dilF52UbeWE9NWRjjMgx.jpg,AB- (86).jpg,AB-,AB,-,2378,745,1771610,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (86)_jpg.rf.dilF52UbeWE9NWRjjMgx.jpg
train,42,O+ (168)_jpg.rf.0JLpzTEL903s5Y15hgY2.jpg,O+ (168).jpg,O+,O,+,2669,869,2319361,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (168)_jpg.rf.0JLpzTEL903s5Y15hgY2.jpg
train,43,B- (34)_jpeg.rf.xZxD1Ssx843ec1F5otu4.jpeg,B- (34).jpeg,B-,B,-,1557,592,921744,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (34)_jpeg.rf.xZxD1Ssx843ec1F5otu4.jpeg
train,44,B- (17)_jpg.rf.HxoLnaLEML5S0JQ58eBR.jpg,B- (17).jpg,B-,B,-,1496,454,679184,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (17)_jpg.rf.HxoLnaLEML5S0JQ58eBR.jpg
train,45,O+ (65)_jpg.rf.eag0hQ2Lgx5EifnTwG54.jpg,O+ (65).jpg,O+,O,+,3088,1257,3881616,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (65)_jpg.rf.eag0hQ2Lgx5EifnTwG54.jpg
train,46,O+ (35)_jpg.rf.JW9LW9J8zWKZ3p4BBTtI.jpg,O+ (35).jpg,O+,O,+,3088,1005,3103440,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (35)_jpg.rf.JW9LW9J8zWKZ3p4BBTtI.jpg
train,47,AB+ (150)_jpg.rf.x83fM9Rd8xcKStsHhIqF.jpg,AB+ (150).jpg,AB+,AB,+,1520,530,805600,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB+ (150)_jpg.rf.x83fM9Rd8xcKStsHhIqF.jpg
train,48,A+ (93)_jpg.rf.dTtpd1znaLUJfRwdOwu8.jpg,A+ (93).jpg,A+,A,+,2251,800,1800800,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (93)_jpg.rf.dTtpd1znaLUJfRwdOwu8.jpg
train,49,A- (85)_jpg.rf.ZbvGcL6xPsK3P3aBI08e.jpg,A- (85).jpg,A-,A,-,897,281,252057,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A- (85)_jpg.rf.ZbvGcL6xPsK3P3aBI08e.jpg
train,50,AB+ (147)_jpg.rf.UJ2eITgAZwycfJTFL9DV.jpg,AB+ (147).jpg,AB+,AB,+,1580,534,843720,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB+ (147)_jpg.rf.UJ2eITgAZwycfJTFL9DV.jpg
train,51,B- (25)_jpg.rf.Is3BWj7V9nPO02IHEd2x.jpg,B- (25).jpg,B-,B,-,2465,866,2134690,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (25)_jpg.rf.Is3BWj7V9nPO02IHEd2x.jpg
train,52,A+ (61)_jpg.rf.ZrGslcQqXCN19CYD9b2d.jpg,A+ (61).jpg,A+,A,+,1091,342,373122,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (61)_jpg.rf.ZrGslcQqXCN19CYD9b2d.jpg
train,53,AB- (7)_jpg.rf.aKIxyZinxLNE5cWM7kP6.jpg,AB- (7).jpg,AB-,AB,-,1008,299,301392,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (7)_jpg.rf.aKIxyZinxLNE5cWM7kP6.jpg
train,54,AB- (71)_jpg.rf.08ZY3IXN0Khlfc1sp72m.jpg,AB- (71).jpg,AB-,AB,-,1074,337,361938,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (71)_jpg.rf.08ZY3IXN0Khlfc1sp72m.jpg
train,55,AB+ (20)_jpg.rf.IjsSZbiZUOIBJcuX15K6.jpg,AB+ (20).jpg,AB+,AB,+,1099,299,328601,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB+ (20)_jpg.rf.IjsSZbiZUOIBJcuX15K6.jpg
train,56,A- (8)_jpg.rf.IoN2haLpyzOFFXOsCr1V.jpg,A- (8).jpg,A-,A,-,945,310,292950,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A- (8)_jpg.rf.IoN2haLpyzOFFXOsCr1V.jpg
train,57,B+ (34)_jpg.rf.xo36of2DdyCslsPjudyi.jpg,B+ (34).jpg,B+,B,+,2880,877,2525760,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B+ (34)_jpg.rf.xo36of2DdyCslsPjudyi.jpg
train,58,A+ (189)_jpg.rf.anuXkIyJ6NI6K19bCcaz.jpg,A+ (189).jpg,A+,A,+,3088,1313,4054544,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (189)_jpg.rf.anuXkIyJ6NI6K19bCcaz.jpg
train,59,A+ (89)_jpg.rf.CGmqc1YXDBLO1HiDRbFw.jpg,A+ (89).jpg,A+,A,+,864,237,204768,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (89)_jpg.rf.CGmqc1YXDBLO1HiDRbFw.jpg
train,60,A+ (183)_jpg.rf.MuB1vf75PsHVuUr9Fbzb.jpg,A+ (183).jpg,A+,A,+,2706,841,2275746,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (183)_jpg.rf.MuB1vf75PsHVuUr9Fbzb.jpg
train,61,B- (76)_jpg.rf.N4WReaCQ1jtMHWHRPZoP.jpg,B- (76).jpg,B-,B,-,3163,1149,3634287,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (76)_jpg.rf.N4WReaCQ1jtMHWHRPZoP.jpg
train,62,A+ (99)_jpg.rf.xrtddXbxgQDY4XL1O8ph.jpg,A+ (99).jpg,A+,A,+,1943,598,1161914,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (99)_jpg.rf.xrtddXbxgQDY4XL1O8ph.jpg
train,63,O+ (75)_jpg.rf.T9OmRQZp4rFhbe1wukga.jpg,O+ (75).jpg,O+,O,+,2145,665,1426425,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (75)_jpg.rf.T9OmRQZp4rFhbe1wukga.jpg
train,64,O+ (32)_jpg.rf.kT8RUqE8Iq47QSncorvZ.jpg,O+ (32).jpg,O+,O,+,2056,673,1383688,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (32)_jpg.rf.kT8RUqE8Iq47QSncorvZ.jpg
train,65,O+ (59)_jpg.rf.Iet7Gy6bgrsuRNdiSwud.jpg,O+ (59).jpg,O+,O,+,354,109,38586,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (59)_jpg.rf.Iet7Gy6bgrsuRNdiSwud.jpg
train,66,O+ (64)_jpg.rf.aJkmlPbx0fWYexRro1hr.jpg,O+ (64).jpg,O+,O,+,3088,1076,3322688,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (64)_jpg.rf.aJkmlPbx0fWYexRro1hr.jpg
train,67,B+ (86)_jpg.rf.elKq3rsRab0rpDp2jLAO.jpg,B+ (86).jpg,B+,B,+,2617,805,2106685,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B+ (86)_jpg.rf.elKq3rsRab0rpDp2jLAO.jpg
train,68,A+ (18)_jpg.rf.GVrynxt2OrsYbkCuEA5q.jpg,A+ (18).jpg,A+,A,+,2686,879,2360994,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (18)_jpg.rf.GVrynxt2OrsYbkCuEA5q.jpg
train,69,AB+ (58)_jpg.rf.Mj2azbEQo1B1tPbKoF5L.jpg,AB+ (58).jpg,AB+,AB,+,1137,343,389991,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB+ (58)_jpg.rf.Mj2azbEQo1B1tPbKoF5L.jpg
train,70,B+ (77)_jpg.rf.ksUDtwgJO0eXRKGV8g9t.jpg,B+ (77).jpg,B+,B,+,3003,950,2852850,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B+ (77)_jpg.rf.ksUDtwgJO0eXRKGV8g9t.jpg
train,71,AB+ (61)_jpg.rf.kYkV3hT0D56w9osNecqI.jpg,AB+ (61).jpg,AB+,AB,+,1077,315,339255,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB+ (61)_jpg.rf.kYkV3hT0D56w9osNecqI.jpg
train,72,B- (54)_jpg.rf.CLrDgtKh5tJs7LBPfc3r.jpg,B- (54).jpg,B-,B,-,3088,1165,3597520,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (54)_jpg.rf.CLrDgtKh5tJs7LBPfc3r.jpg
train,73,B- (22)_jpeg.rf.kgkhbND5NpWP118E4Evb.jpeg,B- (22).jpeg,B-,B,-,1408,492,692736,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (22)_jpeg.rf.kgkhbND5NpWP118E4Evb.jpeg
train,74,O+ (169)_jpg.rf.fMSQl2qtRkMZzoXbxvT1.jpg,O+ (169).jpg,O+,O,+,2753,984,2708952,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (169)_jpg.rf.fMSQl2qtRkMZzoXbxvT1.jpg
train,75,A- (26)_jpg.rf.NLb86IQyXqIdZWYliziG.jpg,A- (26).jpg,A-,A,-,1002,350,350700,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A- (26)_jpg.rf.NLb86IQyXqIdZWYliziG.jpg
train,76,AB+ (29)_jpg.rf.g4nHZx7x7kmZjxFbxGkx.jpg,AB+ (29).jpg,AB+,AB,+,936,330,308880,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB+ (29)_jpg.rf.g4nHZx7x7kmZjxFbxGkx.jpg
train,77,O+ (45)_jpg.rf.NOWolstYcAvfUiqu1yrj.jpg,O+ (45).jpg,O+,O,+,1918,680,1304240,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (45)_jpg.rf.NOWolstYcAvfUiqu1yrj.jpg
train,78,A+ (64)_jpg.rf.kj2EFuV40a4GvNjQhSFI.jpg,A+ (64).jpg,A+,A,+,3088,1103,3406064,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (64)_jpg.rf.kj2EFuV40a4GvNjQhSFI.jpg
train,79,AB- (36)_jpg.rf.kJffi0uOnAkBGcETxWnP.jpg,AB- (36).jpg,AB-,AB,-,1221,376,459096,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (36)_jpg.rf.kJffi0uOnAkBGcETxWnP.jpg
train,80,AB- (80)_jpg.rf.CK0V4SPeaeTGppvlAPGx.jpg,AB- (80).jpg,AB-,AB,-,968,288,278784,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (80)_jpg.rf.CK0V4SPeaeTGppvlAPGx.jpg
train,81,AB- (44)_jpg.rf.lC0RaThBnN3tCQiAQZrj.jpg,AB- (44).jpg,AB-,AB,-,1043,277,288911,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (44)_jpg.rf.lC0RaThBnN3tCQiAQZrj.jpg
train,82,AB- (18)_jpg.rf.l0qEPn8esbEZwHRwkPqz.jpg,AB- (18).jpg,AB-,AB,-,941,281,264421,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (18)_jpg.rf.l0qEPn8esbEZwHRwkPqz.jpg
train,83,B+ (39)_jpg.rf.NkfFMNQY1cwEWKY8pQQJ.jpg,B+ (39).jpg,B+,B,+,2545,878,2234510,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B+ (39)_jpg.rf.NkfFMNQY1cwEWKY8pQQJ.jpg
train,84,AB- (45)_jpg.rf.k5nuyeukDH7S3OlfqiHq.jpg,AB- (45).jpg,AB-,AB,-,1308,329,430332,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (45)_jpg.rf.k5nuyeukDH7S3OlfqiHq.jpg
train,85,B+ (85)_jpg.rf.hO9VKd2R2N0ePcAWFZ9S.jpg,B+ (85).jpg,B+,B,+,3088,950,2933600,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B+ (85)_jpg.rf.hO9VKd2R2N0ePcAWFZ9S.jpg
train,86,AB- (40)_jpg.rf.fBDknfEIaqpHBHSTNb84.jpg,AB- (40).jpg,AB-,AB,-,1046,316,330536,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (40)_jpg.rf.fBDknfEIaqpHBHSTNb84.jpg
train,87,A+ (32)_jpg.rf.Cc3nZ6sJ4D1oagz9U5Jh.jpg,A+ (32).jpg,A+,A,+,2191,674,1476734,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (32)_jpg.rf.Cc3nZ6sJ4D1oagz9U5Jh.jpg
train,88,A+ (50)_jpg.rf.CRlle5lp38u8psCOeM0Y.jpg,A+ (50).jpg,A+,A,+,2373,859,2038407,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (50)_jpg.rf.CRlle5lp38u8psCOeM0Y.jpg
train,89,O+ (135)_jpg.rf.lEChO1UjICPLgWHlz8qV.jpg,O+ (135).jpg,O+,O,+,3352,1072,3593344,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\O+ (135)_jpg.rf.lEChO1UjICPLgWHlz8qV.jpg
train,90,A+ (61)_jpg.rf.g7Pd7Bi1UOisBMxOGtRj.jpg,A+ (61).jpg,A+,A,+,2941,1012,2976292,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (61)_jpg.rf.g7Pd7Bi1UOisBMxOGtRj.jpg
train,91,AB+ (73)_jpg.rf.g9fjqVtdApC7pcXpkAyu.jpg,AB+ (73).jpg,AB+,AB,+,1368,389,532152,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB+ (73)_jpg.rf.g9fjqVtdApC7pcXpkAyu.jpg
train,92,AB+ (19)_jpg.rf.NgmXIxnDVzJm4FJR0JfH.jpg,AB+ (19).jpg,AB+,AB,+,999,334,333666,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB+ (19)_jpg.rf.NgmXIxnDVzJm4FJR0JfH.jpg
train,93,A+ (83)_jpg.rf.NHNFInnwXnd5orpzVLAp.jpg,A+ (83).jpg,A+,A,+,1000,286,286000,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (83)_jpg.rf.NHNFInnwXnd5orpzVLAp.jpg
train,94,A+ (124)_jpg.rf.yFb8jksyDWmF0e3JqF4Q.jpg,A+ (124).jpg,A+,A,+,2103,808,1699224,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\A+ (124)_jpg.rf.yFb8jksyDWmF0e3JqF4Q.jpg
train,95,B- (19)_jpg.rf.NsfpGgRHrsMSGew4V0zy.jpg,B- (19).jpg,B-,B,-,1335,510,680850,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (19)_jpg.rf.NsfpGgRHrsMSGew4V0zy.jpg
train,96,B- (46)_jpeg.rf.nXuL0ll5ErZ6lGyck30d.jpeg,B- (46).jpeg,B-,B,-,1551,492,763092,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (46)_jpeg.rf.nXuL0ll5ErZ6lGyck30d.jpeg
train,97,B+ (66)_jpg.rf.gOh4P1lZlmGqWmkPd6lo.jpg,B+ (66).jpg,B+,B,+,2926,912,2668512,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B+ (66)_jpg.rf.gOh4P1lZlmGqWmkPd6lo.jpg
train,98,AB- (70)_jpg.rf.fwGrsIJYpID66wNg2rOq.jpg,AB- (70).jpg,AB-,AB,-,907,239,216773,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\AB- (70)_jpg.rf.fwGrsIJYpID66wNg2rOq.jpg
train,99,B- (37)_jpg.rf.ewUlYdXBnls9DF1OIhLP.jpg,B- (37).jpg,B-,B,-,1271,283,359693,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B- (37)_jpg.rf.ewUlYdXBnls9DF1OIhLP.jpg
train,100,B+ (54)_jpg.rf.yCzUowNbL8ECNb5DYlCv.jpg,B+ (54).jpg,B+,B,+,2588,887,2295556,e:\LUT\PatternRecognition\Final\Blood Group Detection.coco\train\B+ (54)_jpg.rf.yCzUowNbL8ECNb5DYlCv.jpg
